ลำดับ	ชนิดข้อความ	ตำแหน่งในไฟล์	เลขข้อจาก TOR	ข้อความ TOR ต้นฉบับ	หมวด/Module	Frappe/ERPNext Coverage	สิ่งที่มีใน Standard	สิ่งที่ต้องทำเพิ่ม / Customization	Gap/Risk	Priority	Effort	หลักฐาน/Reference	หมายเหตุจาก Fit-Gap	ช่องให้เติมเอง
67	Paragraph	76	4.3	4.3 คุณลักษณะเฉพาะและความสามารถของระบบต่าง ๆ ที่เกี่ยวข้องระบบ ERP แต่ละระบบงานจะต้องมีความสามารถของระบบอย่างน้อย ดังนี้										
68	Paragraph	77	4.3.1	4.3.1 ระบบบริการพนักงาน (Employee Self Service System) เป็นที่ช่วยสนับสนุนการทำงานของผู้ใช้งานในการจัดทำคำขอต่าง ๆ โดยระบบจะมีขอบเขตหรือความสามารถต่าง ๆ ดังนี้										
69	Paragraph	78	4.3.1(1)	(1) สามารถบันทึกคำของบประมาณ ขออนุมัติดำเนินงาน ขอเบิกเงิน ขอยืมเงินทดรองจ่าย ส่งใช้เงินยืมทดรองจ่าย แจ้งความประสงค์ และขอเบิกวัสดุได้	Employee Self Service	บันทึกคำของบประมาณ/ขออนุมัติ/ขอเบิก/ยืมเงิน/ส่งใช้เงินยืม/แจ้งความประสงค์/ขอเบิกวัสดุ	มีบางส่วน	มี Expense Claim, Employee Advance concept, Material Request/Stock Request และ custom DocType ได้	ต้อง custom request portal รวมหลายประเภทคำขอ	Medium	P1	M-L	https://docs.frappe.io/erpnext/v13/user/videos/learn/expense-claim; https://docs.frappe.io/erpnext/workflows	
70	Paragraph	79	4.3.1(2)	(2) สามารถติดตามสถานะคำขอได้แบบ Real time และสามารถตรวจสอบสถานะเอกสาร อยู่ในระหว่างขั้นตอนการดำเนินงานใด	Employee Self Service	ติดตามสถานะคำขอ realtime และขั้นตอนเอกสาร	มี	มี workflow state/status ในเอกสาร	ต้องออกแบบสถานะภาษาไทยและ dashboard คำขอ	Medium	P1	M-L	https://docs.frappe.io/erpnext/v13/user/videos/learn/expense-claim; https://docs.frappe.io/erpnext/workflows	
71	Paragraph	80	4.3.1(3)	(3) สามารถแจ้งเตือน (Notification) ผู้ที่เกี่ยวข้องกับการดำเนินงานในกระบวนการต่าง ๆ ได้	Employee Self Service	แจ้งเตือนผู้เกี่ยวข้อง	มี	มี Notification/Email/Workflow Action	ต้อง configure rule/template	Medium	P1	M-L	https://docs.frappe.io/erpnext/v13/user/videos/learn/expense-claim; https://docs.frappe.io/erpnext/workflows	
72	Paragraph	81	4.3.1(4)	(4) สามารถอนุมัติรายการและรองรับการลงลายมือชื่ออิเล็กทรอนิกส์ (e-Signature) ตามมาตรา 9 หรือ 26 หรือ 28 ของ พ.ร.บ.ว่าด้วยธุรกรรมทางอิเล็กทรอนิกส์ฯ	Employee Self Service	อนุมัติและ e-Signature	มีบางส่วน	มี Workflow approval	ต้อง integrate e-Signature ตามกฎหมายไทย	High	P1	M-L	https://docs.frappe.io/erpnext/v13/user/videos/learn/expense-claim; https://docs.frappe.io/erpnext/workflows	
73	Paragraph	82	4.3.2	4.3.2 ระบบงบประมาณ (Budgeting System) เป็นระบบที่ใช้วางแผน ควบคุมการเบิกจ่ายเงินงบประมาณของหน่วยงาน โดยมีกระบวนการตั้งแต่การจัดทำคำของบประมาณ ปรับโอนงบประมาณ ติดตามผลการเบิกจ่ายเงิน โดยระบบจะมีขอบเขตหรือความสามารถต่าง ๆ ดังนี้										
74	Paragraph	83	4.3.2(1)	(1) สามารถกำหนดแหล่งเงินได้ และยุทธศาสตร์ได้	Budgeting	กำหนดแหล่งเงินและยุทธศาสตร์	ต้องทำเพิ่ม	มี Budget, Cost Center, Project, Fiscal Year และ dimension ทางบัญชีบางส่วน	ต้องสร้าง budget request/workflow/version/strategic hierarchy/procurement plan และรายงานราชการ	High	P1	L	https://docs.frappe.io/erpnext/cost-center-and-budgeting	
75	Paragraph	84	4.3.2(2)	(2) สามารถกำหนดยุทธศาสตร์ได้ทุกประเภท และไม่จำกัดลำดับชั้น	Budgeting	กำหนดยุทธศาสตร์ทุกประเภทและไม่จำกัดลำดับชั้น	ต้องทำเพิ่ม	มี Budget, Cost Center, Project, Fiscal Year และ dimension ทางบัญชีบางส่วน	ต้องสร้าง budget request/workflow/version/strategic hierarchy/procurement plan และรายงานราชการ	High	P1	L	https://docs.frappe.io/erpnext/cost-center-and-budgeting	
76	Paragraph	85	4.3.2(3)	(3) สามารถกำหนดรูปแบบและรอบระยะเวลาของปีงบประมาณ	Budgeting	กำหนดรูปแบบและรอบปีงบประมาณ	มีบางส่วน	มี Budget, Cost Center, Project, Fiscal Year และ dimension ทางบัญชีบางส่วน	ต้องสร้าง budget request/workflow/version/strategic hierarchy/procurement plan และรายงานราชการ	High	P1	L	https://docs.frappe.io/erpnext/cost-center-and-budgeting	
77	Paragraph	86	4.3.2(4)	(4) สามารถกำหนดโครงสร้างของประเภทรายจ่าย และการถัวจ่ายงบประมาณ	Budgeting	กำหนดโครงสร้างประเภทรายจ่ายและการถัวจ่าย	ต้องทำเพิ่ม	มี Budget, Cost Center, Project, Fiscal Year และ dimension ทางบัญชีบางส่วน	ต้องสร้าง budget request/workflow/version/strategic hierarchy/procurement plan และรายงานราชการ	High	P1	L	https://docs.frappe.io/erpnext/cost-center-and-budgeting	
78	Paragraph	87	4.3.2(5)	(5) สามารถจัดทำผังยุทธศาสตร์ประจำปี และบันทึกรายการจัดทำคำของบประมาณ	Budgeting	จัดทำผังยุทธศาสตร์ประจำปีและคำของบประมาณ	ต้องทำเพิ่ม	มี Budget, Cost Center, Project, Fiscal Year และ dimension ทางบัญชีบางส่วน	ต้องสร้าง budget request/workflow/version/strategic hierarchy/procurement plan และรายงานราชการ	High	P1	L	https://docs.frappe.io/erpnext/cost-center-and-budgeting	
79	Paragraph	88	4.3.2(6)	(6) สามารถจัดเก็บคำของบประมาณได้หลาย Version	Budgeting	จัดเก็บคำของบประมาณหลาย Version	ต้องทำเพิ่ม	มี Budget, Cost Center, Project, Fiscal Year และ dimension ทางบัญชีบางส่วน	ต้องสร้าง budget request/workflow/version/strategic hierarchy/procurement plan และรายงานราชการ	High	P1	L	https://docs.frappe.io/erpnext/cost-center-and-budgeting	
80	Paragraph	89	4.3.2(7)	(7) สามารถจัดเก็บข้อมูลและเรียกดูข้อมูลงบประมาณรายจ่าย และงบประมาณประจำปี ที่ได้รับจัดสรรของหน่วยงานในแต่ละปี โดยแยกตาม โครงการ/กิจกรรม/แหล่งเงิน/ประเภทรายจ่าย และในมิติต่าง ๆ ตามที่กำหนด	Budgeting	เรียกดูงบตามโครงการ/กิจกรรม/แหล่งเงิน/ประเภทรายจ่าย/มิติ	มีบางส่วน	มี Budget, Cost Center, Project, Fiscal Year และ dimension ทางบัญชีบางส่วน	ต้องสร้าง budget request/workflow/version/strategic hierarchy/procurement plan และรายงานราชการ	High	P1	L	https://docs.frappe.io/erpnext/cost-center-and-budgeting	
81	Paragraph	90	4.3.2(8)	(8) สามารถบันทึกรายการปรับโอน เพิ่ม ลด งบประมาณ	Budgeting	บันทึกปรับโอน เพิ่ม ลด งบประมาณ	มีบางส่วน	มี Budget, Cost Center, Project, Fiscal Year และ dimension ทางบัญชีบางส่วน	ต้องสร้าง budget request/workflow/version/strategic hierarchy/procurement plan และรายงานราชการ	High	P1	L	https://docs.frappe.io/erpnext/cost-center-and-budgeting	
82	Paragraph	91	4.3.2(9)	(9) สามารถบันทึกแผนการใช้จ่ายเงินได้	Budgeting	บันทึกแผนการใช้จ่ายเงิน	ต้องทำเพิ่ม	มี Budget, Cost Center, Project, Fiscal Year และ dimension ทางบัญชีบางส่วน	ต้องสร้าง budget request/workflow/version/strategic hierarchy/procurement plan และรายงานราชการ	High	P1	L	https://docs.frappe.io/erpnext/cost-center-and-budgeting	
83	Paragraph	92	4.3.2(10)	(10) สามารถบันทึกแผนและรายงานผลการเบิกจ่ายเงินของโครงการและกิจกรรมได้	Budgeting	บันทึกแผนและรายงานผลเบิกจ่ายโครงการ/กิจกรรม	ต้องทำเพิ่ม	มี Budget, Cost Center, Project, Fiscal Year และ dimension ทางบัญชีบางส่วน	ต้องสร้าง budget request/workflow/version/strategic hierarchy/procurement plan และรายงานราชการ	High	P1	L	https://docs.frappe.io/erpnext/cost-center-and-budgeting	
84	Paragraph	93	4.3.2(11)	(11) สามารถบันทึกแผนจัดซื้อจัดจ้างตั้งแต่ขั้นตอนการจัดทำคำของบประมาณได้	Budgeting	บันทึกแผนจัดซื้อจัดจ้างตั้งแต่คำของบประมาณ	ต้องทำเพิ่ม	มี Budget, Cost Center, Project, Fiscal Year และ dimension ทางบัญชีบางส่วน	ต้องสร้าง budget request/workflow/version/strategic hierarchy/procurement plan และรายงานราชการ	High	P1	L	https://docs.frappe.io/erpnext/cost-center-and-budgeting	
85	Paragraph	94	4.3.2(12)	(12) แสดงข้อมูลและจัดทำรายงานต่าง ๆ เช่น รายงานคำของบประมาณ รายงานงบประมาณคงเหลือ ทั้งนี้ยังสามารถกำหนดรูปแบบการนำข้อมูลออก (Export) ในรูปแบบของไฟล์ PDF, Excel, Word ได้เป็นอย่างน้อย	Budgeting	รายงานคำของบประมาณ/งบคงเหลือ export PDF Excel Word	ต้องทำเพิ่ม	มี Budget, Cost Center, Project, Fiscal Year และ dimension ทางบัญชีบางส่วน	ต้องสร้าง budget request/workflow/version/strategic hierarchy/procurement plan และรายงานราชการ	High	P1	L	https://docs.frappe.io/erpnext/cost-center-and-budgeting	
86	Paragraph	95	4.3.2(13)	(13) สามารถเรียกดูทะเบียนงบประมาณ ณ วันที่ใดวันที่หนึ่ง หรือตามเงื่อนไขที่กำหนดได้ เช่น โครงการ กิจกรรม ปีงบประมาณ แหล่งเงิน เป็นต้น	Budgeting	เรียกดูทะเบียนงบประมาณตามวันที่หรือเงื่อนไข	มีบางส่วน	มี Budget, Cost Center, Project, Fiscal Year และ dimension ทางบัญชีบางส่วน	ต้องสร้าง budget request/workflow/version/strategic hierarchy/procurement plan และรายงานราชการ	High	P1	L	https://docs.frappe.io/erpnext/cost-center-and-budgeting	
87	Paragraph	96	4.3.3	4.3.3 ระบบบัญชีเจ้าหนี้ (Account Payable System) เป็นระบบสำหรับจัดการบริหารบัญชีเจ้าหนี้ ระบบจะทำการเก็บบันทึกข้อมูลธุรกรรมทางการเงิน โดยระบบจะมีขอบเขตหรือความสามารถต่าง ๆ ดังนี้										
88	Paragraph	97	4.3.3(1)	(1) สามารถกำหนดรหัสเจ้าหนี้ รหัสค่าใช้จ่าย และวิธีการชำระเงินได้	Account Payable	กำหนดรหัสเจ้าหนี้ รหัสค่าใช้จ่าย วิธีชำระเงิน	มี	มี Supplier, Purchase Invoice, Payment Entry, tax/accounting reports, workflow	ต้อง configure AP flow และ custom VAT/WHT/e-payment/report ตามไทย	Medium	P1	M	https://docs.frappe.io/erpnext/purchase-invoice; https://docs.frappe.io/erpnext/accounts-receivable-and-payable	
89	Paragraph	98	4.3.3(2)	(2) กำหนดรอบระยะเวลาการเงิน ให้เป็นไปตามความต้องการได้ และสามารถเปิด-ปิดรอบระยะเวลาการเงินได้	Account Payable	กำหนดรอบระยะเวลาการเงินและเปิด-ปิดรอบ	มีบางส่วน	มี Supplier, Purchase Invoice, Payment Entry, tax/accounting reports, workflow	ต้อง configure AP flow และ custom VAT/WHT/e-payment/report ตามไทย	Medium	P1	M	https://docs.frappe.io/erpnext/purchase-invoice; https://docs.frappe.io/erpnext/accounts-receivable-and-payable	
90	Paragraph	99	4.3.3(3)	(3) สามารถกำหนดรหัสสำหรับเอกสารการจ่ายเงินได้	Account Payable	กำหนดรหัสเอกสารการจ่ายเงิน	มี	มี Supplier, Purchase Invoice, Payment Entry, tax/accounting reports, workflow	ต้อง configure AP flow และ custom VAT/WHT/e-payment/report ตามไทย	Medium	P1	M	https://docs.frappe.io/erpnext/purchase-invoice; https://docs.frappe.io/erpnext/accounts-receivable-and-payable	
91	Paragraph	100	4.3.3(4)	(4) มีการอนุมัติเมื่อมีการสร้างข้อมูลเจ้าหนี้ ก่อนจึงสามารถนำรหัสเจ้าหนี้ไปใช้ในการบันทึกรายการในหน้าจออื่น ๆ ได้	Account Payable	อนุมัติ master เจ้าหนี้ก่อนใช้งาน	มีบางส่วน	มี Supplier, Purchase Invoice, Payment Entry, tax/accounting reports, workflow	ต้อง configure AP flow และ custom VAT/WHT/e-payment/report ตามไทย	Medium	P1	M	https://docs.frappe.io/erpnext/purchase-invoice; https://docs.frappe.io/erpnext/accounts-receivable-and-payable	
92	Paragraph	101	4.3.3(5)	(5) เจ้าหนี้หนึ่งราย สามารถบันทึกบัญชีเจ้าหนี้ได้หลายประเภท	Account Payable	เจ้าหนี้หนึ่งรายมีบัญชีเจ้าหนี้หลายประเภท	มีบางส่วน	มี Supplier, Purchase Invoice, Payment Entry, tax/accounting reports, workflow	ต้อง configure AP flow และ custom VAT/WHT/e-payment/report ตามไทย	Medium	P1	M	https://docs.frappe.io/erpnext/purchase-invoice; https://docs.frappe.io/erpnext/accounts-receivable-and-payable	
93	Paragraph	102	4.3.3(6)	(6) สามารถบันทึกรายการขอเบิกเงิน ขอยืมเงินทดรองจ่าย และรายการส่งใช้เงินยืมทดรองจ่าย	Account Payable	บันทึกขอเบิก/ยืม/ส่งใช้เงินยืม	มีบางส่วน	มี Supplier, Purchase Invoice, Payment Entry, tax/accounting reports, workflow	ต้อง configure AP flow และ custom VAT/WHT/e-payment/report ตามไทย	Medium	P1	M	https://docs.frappe.io/erpnext/purchase-invoice; https://docs.frappe.io/erpnext/accounts-receivable-and-payable	
94	Paragraph	103	4.3.3(7)	(7) คำขอเบิก 1 รายการ สามารถเบิกจ่ายให้กับผู้รับเงินหลายคนได้	Account Payable	คำขอเบิก 1 รายการจ่ายให้หลายคน	ต้องทำเพิ่ม	มี Supplier, Purchase Invoice, Payment Entry, tax/accounting reports, workflow	ต้อง configure AP flow และ custom VAT/WHT/e-payment/report ตามไทย	High	P1	M	https://docs.frappe.io/erpnext/purchase-invoice; https://docs.frappe.io/erpnext/accounts-receivable-and-payable	
95	Paragraph	104	4.3.3(8)	(8) สามารถบันทึกรายการตั้งหนี้ และบันทึกบัญชีได้โดยอัตโนมัติ	Account Payable	ตั้งหนี้และลงบัญชีอัตโนมัติ	มี	มี Supplier, Purchase Invoice, Payment Entry, tax/accounting reports, workflow	ต้อง configure AP flow และ custom VAT/WHT/e-payment/report ตามไทย	Medium	P1	M	https://docs.frappe.io/erpnext/purchase-invoice; https://docs.frappe.io/erpnext/accounts-receivable-and-payable	
96	Paragraph	105	4.3.3(9)	(9) สามารถบันทึกรายการจ่ายเงินต่าง ๆ ได้ และสามารถเลือกวิธีการจ่ายชำระเงิน โดย เงินสด เช็ค โอนบัญชีธนาคาร และ e-Payment	Account Payable	จ่ายเงินสด เช็ค โอน e-Payment	มีบางส่วน	มี Supplier, Purchase Invoice, Payment Entry, tax/accounting reports, workflow	ต้อง configure AP flow และ custom VAT/WHT/e-payment/report ตามไทย	Medium	P1	M	https://docs.frappe.io/erpnext/purchase-invoice; https://docs.frappe.io/erpnext/accounts-receivable-and-payable	
97	Paragraph	106	4.3.3(10)	(10) สามารถบันทึกรายงานภาษีซื้อ และรายการนำส่งภาษีมูลค่าเพิ่ม	Account Payable	บันทึกรายงานภาษีซื้อและ VAT	มีบางส่วน	มี Supplier, Purchase Invoice, Payment Entry, tax/accounting reports, workflow	ต้อง configure AP flow และ custom VAT/WHT/e-payment/report ตามไทย	Medium	P1	M	https://docs.frappe.io/erpnext/purchase-invoice; https://docs.frappe.io/erpnext/accounts-receivable-and-payable	
98	Paragraph	107	4.3.3(11)	(11) สามารถบันทึกรายการนำส่งภาษีหัก ณ ที่จ่าย	Account Payable	บันทึกภาษีหัก ณ ที่จ่าย	มีบางส่วน	มี Supplier, Purchase Invoice, Payment Entry, tax/accounting reports, workflow	ต้อง configure AP flow และ custom VAT/WHT/e-payment/report ตามไทย	Medium	P1	M	https://docs.frappe.io/erpnext/purchase-invoice; https://docs.frappe.io/erpnext/accounts-receivable-and-payable	
99	Paragraph	108	4.3.3(12)	(12) สามารถส่งออกข้อมูลไฟล์ ภาษีหัก ณ ที่จ่าย และภาษีมูลค่าเพิ่ม ในรูปแบบที่สามารถนำส่งภาษีออนไลน์ให้กับกรมสรรพากรได้	Account Payable	ส่งออก WHT/VAT เพื่อนำส่งออนไลน์กรมสรรพากร	ต้องทำเพิ่ม	มี Supplier, Purchase Invoice, Payment Entry, tax/accounting reports, workflow	ต้อง configure AP flow และ custom VAT/WHT/e-payment/report ตามไทย	High	P1	M	https://docs.frappe.io/erpnext/purchase-invoice; https://docs.frappe.io/erpnext/accounts-receivable-and-payable	
100	Paragraph	109	4.3.3(13)	(13) สามารถแจ้งเตือน (Notification) ผู้ที่เกี่ยวข้องกับการดำเนินงานในกระบวนการต่าง ๆ ได้	Account Payable	แจ้งเตือนผู้เกี่ยวข้อง	มี	มี Supplier, Purchase Invoice, Payment Entry, tax/accounting reports, workflow	ต้อง configure AP flow และ custom VAT/WHT/e-payment/report ตามไทย	Medium	P1	M	https://docs.frappe.io/erpnext/purchase-invoice; https://docs.frappe.io/erpnext/accounts-receivable-and-payable	
101	Paragraph	110	4.3.3(14)	(14) สามารถตรวจสอบสถานะเอกสาร อยู่ในระหว่างขั้นตอนการดำเนินงานใด	Account Payable	ตรวจสถานะเอกสาร	มี	มี Supplier, Purchase Invoice, Payment Entry, tax/accounting reports, workflow	ต้อง configure AP flow และ custom VAT/WHT/e-payment/report ตามไทย	Medium	P1	M	https://docs.frappe.io/erpnext/purchase-invoice; https://docs.frappe.io/erpnext/accounts-receivable-and-payable	
102	Paragraph	111	4.3.3(15)	(15) แสดงข้อมูลและจัดทำรายงานต่าง ๆ เช่น รายงานการเคลื่อนไหวเจ้าหนี้ รายงานเจ้าหนี้คงค้าง ทั้งนี้ยังสามารถกำหนดรูปแบบการนำข้อมูลออก (Export) ในรูปแบบของไฟล์ PDF, Excel, Word ได้เป็นอย่างน้อย	Account Payable	รายงาน AP movement/outstanding export	มีบางส่วน	มี Supplier, Purchase Invoice, Payment Entry, tax/accounting reports, workflow	ต้อง configure AP flow และ custom VAT/WHT/e-payment/report ตามไทย	Medium	P1	M	https://docs.frappe.io/erpnext/purchase-invoice; https://docs.frappe.io/erpnext/accounts-receivable-and-payable	
103	Paragraph	113	4.3.4	4.3.4 ระบบบัญชีลูกหนี้ (Account Receivable System) เป็นระบบสำหรับจัดการบริหารบัญชีลูกหนี้ ระบบจะทำการเก็บบันทึกข้อมูลธุรกรรมทางการเงิน โดยระบบจะมีขอบเขตหรือความสามารถต่าง ๆ ดังนี้										
104	Paragraph	114	4.3.4(1)	(1) สามารถกำหนดรหัสลูกหนี้ รหัสรายได้ และวิธีการรับชำระเงินได้	Account Receivable	กำหนดรหัสลูกหนี้ รหัสรายได้ วิธีรับชำระเงิน	มี	มี Customer, Sales Invoice, Payment Entry, AR aging, accounting posting	ต้อง configure AR flow และ custom guarantee/e-Tax/report ตามไทย	Medium	P1	M-L	https://docs.frappe.io/erpnext/sales-invoice; https://docs.frappe.io/erpnext/accounts-receivable-and-payable	
105	Paragraph	115	4.3.4(2)	(2) ลูกหนี้หนึ่งราย สามารถบันทึกบัญชีลูกหนี้ได้หลายประเภท	Account Receivable	ลูกหนี้หนึ่งรายมีบัญชีลูกหนี้หลายประเภท	มีบางส่วน	มี Customer, Sales Invoice, Payment Entry, AR aging, accounting posting	ต้อง configure AR flow และ custom guarantee/e-Tax/report ตามไทย	Medium	P1	M-L	https://docs.frappe.io/erpnext/sales-invoice; https://docs.frappe.io/erpnext/accounts-receivable-and-payable	
106	Paragraph	116	4.3.4(3)	(3) สามารถกำหนดรหัสสำหรับเอกสารการรับเงินได้	Account Receivable	กำหนดรหัสเอกสารการรับเงิน	มี	มี Customer, Sales Invoice, Payment Entry, AR aging, accounting posting	ต้อง configure AR flow และ custom guarantee/e-Tax/report ตามไทย	Medium	P1	M-L	https://docs.frappe.io/erpnext/sales-invoice; https://docs.frappe.io/erpnext/accounts-receivable-and-payable	
107	Paragraph	117	4.3.4(4)	(4) สามารถบันทึกรายการรับเงินต่าง ๆ ได้ และสามารถเลือกวิธีการรับชำระเงินโดย เงินสด เช็ค โอนบัญชีธนาคาร และบัตรเครดิต	Account Receivable	รับเงินสด เช็ค โอน บัตรเครดิต	มีบางส่วน	มี Customer, Sales Invoice, Payment Entry, AR aging, accounting posting	ต้อง configure AR flow และ custom guarantee/e-Tax/report ตามไทย	Medium	P1	M-L	https://docs.frappe.io/erpnext/sales-invoice; https://docs.frappe.io/erpnext/accounts-receivable-and-payable	
108	Paragraph	118	4.3.4(5)	(5) สามารถบันทึกรับหลักประกันที่ไม่ใช่ตัวเงินได้ เช่น หนังสือค้ำประกัน พันธบัตรรัฐบาล	Account Receivable	รับหลักประกันไม่ใช่ตัวเงิน เช่น หนังสือค้ำประกัน/พันธบัตร	ต้องทำเพิ่ม	มี Customer, Sales Invoice, Payment Entry, AR aging, accounting posting	ต้อง configure AR flow และ custom guarantee/e-Tax/report ตามไทย	High	P1	M-L	https://docs.frappe.io/erpnext/sales-invoice; https://docs.frappe.io/erpnext/accounts-receivable-and-payable	
109	Paragraph	119	4.3.4(6)	(6) สามารถบันทึกรายงานภาษีขายได้	Account Receivable	บันทึกรายงานภาษีขาย	มีบางส่วน	มี Customer, Sales Invoice, Payment Entry, AR aging, accounting posting	ต้อง configure AR flow และ custom guarantee/e-Tax/report ตามไทย	Medium	P1	M-L	https://docs.frappe.io/erpnext/sales-invoice; https://docs.frappe.io/erpnext/accounts-receivable-and-payable	
110	Paragraph	120	4.3.4(7)	(7) สามารถบันทึกรายการตั้งลูกหนี้ และบันทึกบัญชีได้โดยอัตโนมัติ	Account Receivable	ตั้งลูกหนี้และลงบัญชีอัตโนมัติ	มี	มี Customer, Sales Invoice, Payment Entry, AR aging, accounting posting	ต้อง configure AR flow และ custom guarantee/e-Tax/report ตามไทย	Medium	P1	M-L	https://docs.frappe.io/erpnext/sales-invoice; https://docs.frappe.io/erpnext/accounts-receivable-and-payable	
111	Paragraph	121	4.3.4(8)	(8) สามารถออก e-Tax Invoice และ e-Receipt หรือรองรับการเชื่อมต่อผู้ให้บริการ e-Tax Invoice และ e-Receipt ที่ได้รับการรับรองกับกรมสรรพากรได้	Account Receivable	ออกหรือเชื่อม e-Tax Invoice/e-Receipt	ต้องทำเพิ่ม	มี Customer, Sales Invoice, Payment Entry, AR aging, accounting posting	ต้อง configure AR flow และ custom guarantee/e-Tax/report ตามไทย	High	P1	M-L	https://docs.frappe.io/erpnext/sales-invoice; https://docs.frappe.io/erpnext/accounts-receivable-and-payable	
112	Paragraph	122	4.3.4(9)	(9) แสดงข้อมูลและจัดทำรายงานต่าง ๆ เช่น รายงานการเคลื่อนไหวลูกหนี้ รายงานลูกหนี้คงค้าง รายงานวิเคราะห์อายุลูกหนี้ รายงานการรับชำระเงิน ทะเบียนคุมลูกหนี้เงินยืมทดรองจ่าย ทั้งนี้ยังสามารถกำหนดรูปแบบการนำข้อมูลออก (Export) ในรูปแบบของไฟล์ PDF, Excel, Word ได้เป็นอย่างน้อย	Account Receivable	รายงาน AR movement/outstanding/aging/payment/advance export	มีบางส่วน	มี Customer, Sales Invoice, Payment Entry, AR aging, accounting posting	ต้อง configure AR flow และ custom guarantee/e-Tax/report ตามไทย	Medium	P1	M-L	https://docs.frappe.io/erpnext/sales-invoice; https://docs.frappe.io/erpnext/accounts-receivable-and-payable	
113	Paragraph	123	4.3.5	4.3.5 ระบบธนาคาร (Banking System) เป็นระบบงานที่ใช้กำหนดรูปแบบเช็ค และพิสูจน์ยอดเงินฝากธนาคาร โดยระบบจะมีขอบเขตหรือความสามารถต่าง ๆ ดังนี้										
114	Paragraph	124	4.3.5(1)	(1) สามารถกำหนดเล่มเช็ค เลขที่เช็ค และชื่อบริการ e-payment ได้	Banking	กำหนดเล่มเช็ค เลขที่เช็ค ชื่อบริการ e-payment	มีบางส่วน	มี Bank Account, Payment Entry, Bank Transaction/Reconciliation	ต้อง custom cheque register และ e-payment bank export format	Medium	P1	M	https://docs.frappe.io/erpnext/process-payment-reconciliation-tool	
115	Paragraph	125	4.3.5(2)	(2) สามารถกำหนดรหัสสมุดบัญชีเงินฝากธนาคารแยกตามประเภทเงินฝาก	Banking	กำหนดรหัสสมุดบัญชีเงินฝากธนาคารแยกประเภทเงินฝาก	มี	มี Bank Account, Payment Entry, Bank Transaction/Reconciliation	ต้อง custom cheque register และ e-payment bank export format	Medium	P1	M	https://docs.frappe.io/erpnext/process-payment-reconciliation-tool	
116	Paragraph	126	4.3.5(3)	(3) สามารถบริหารจัดการเช็ค และการนำฝากธนาคาร	Banking	บริหารเช็คและการนำฝากธนาคาร	มีบางส่วน	มี Bank Account, Payment Entry, Bank Transaction/Reconciliation	ต้อง custom cheque register และ e-payment bank export format	Medium	P1	M	https://docs.frappe.io/erpnext/process-payment-reconciliation-tool	
117	Paragraph	127	4.3.5(4)	(4) สามารถตรวจสอบยอดเงินฝากธนาคาร	Banking	ตรวจสอบยอดเงินฝากธนาคาร	มี	มี Bank Account, Payment Entry, Bank Transaction/Reconciliation	ต้อง custom cheque register และ e-payment bank export format	Medium	P1	M	https://docs.frappe.io/erpnext/process-payment-reconciliation-tool	
118	Paragraph	128	4.3.5(5)	(5) สามารถส่งออกข้อมูลไฟล์ e-payment ในรูปแบบที่ทางธนาคารของหน่วยงานกำหนด	Banking	export e-payment ตาม bank format	ต้องทำเพิ่ม	มี Bank Account, Payment Entry, Bank Transaction/Reconciliation	ต้อง custom cheque register และ e-payment bank export format	Medium	P1	M	https://docs.frappe.io/erpnext/process-payment-reconciliation-tool	
119	Paragraph	129	4.3.5(6)	(6) แสดงข้อมูลและจัดทำรายงานต่าง ๆ เช่น ทะเบียนเช็ค รายงานกระทบยอดเงินฝากธนาคาร ทั้งนี้ยังสามารถกำหนดรูปแบบการนำข้อมูลออก (Export) ในรูปแบบของไฟล์ PDF, Excel, Word ได้เป็นอย่างน้อย	Banking	รายงานทะเบียนเช็ค/กระทบยอด export	มีบางส่วน	มี Bank Account, Payment Entry, Bank Transaction/Reconciliation	ต้อง custom cheque register และ e-payment bank export format	Medium	P1	M	https://docs.frappe.io/erpnext/process-payment-reconciliation-tool	
120	Paragraph	130	4.3.6	4.3.6 ระบบจัดซื้อจัดจ้าง (Purchase Order System) เป็นระบบที่ทำหน้าที่เกี่ยวกับการจัดซื้อ จัดจ้างของหน่วยงานโดยระบบจะมีขอบเขตหรือความสามารถต่าง ๆ ดังนี้										
121	Paragraph	131	4.3.6(1)	(1) สามารถกำหนดรอบระยะเวลาพัสดุ ให้เป็นไปตามความต้องการได้ และสามารถเปิด-ปิดรอบระยะเวลาพัสดุได้	Purchase Order / Procurement	กำหนดรอบระยะเวลาพัสดุและเปิด-ปิดรอบ	ต้องทำเพิ่ม	มี Buying flow, PO, Supplier Quotation, Purchase Receipt, Purchase Invoice, workflow/attachments	ต้องสร้าง public procurement app: e-GP, TOR, committee, contract, guarantees, penalties, สขร.1, cross-year commitments	High	P1	L-XL	https://docs.frappe.io/erpnext/buying; https://docs.frappe.io/erpnext/purchase-order	
