ลำดับ	เลขข้อ TOR	หัวข้อ/ข้อความจาก TOR	ตำแหน่งย่อหน้าในไฟล์
131	4.3.6(21)	(๒1) มีเมนูสำหรับการบริหารสัญญา ซึ่งสามารถกำหนดเงื่อนไขการแสดงข้อมูลได้ เช่น เลขที่สัญญา ชื่อสัญญา ปีงบประมาณ วิธีการจัดหา เป็นต้น	151
132	4.3.6(22)	(๒2) สามารถบันทึกข้อมูลการแก้ไขสัญญาผ่านระบบได้	152
133	4.3.6(23)	(๒3) สามารถจัดทำรายงานสรุปผลการจัดซื้อจัดจ้าง (สขร. 1) ได้โดยอัตโนมัติ รวมทั้งสามารถบันทึกขออนุมัติประกาศสรุปผลการจัดซื้อจัดจ้าง (สขร. 1) ได้	153
134	4.3.6(24)	(24) สามารถจัดทำรายละเอียดแนบท้ายประกาศผลผู้ชนะการจัดซื้อจัดจ้างหรือผู้ได้รับคัดเลือก และสาระสำคัญของสัญญาหรือข้อตกลงเป็นหนังสือได้ รวมทั้งขออนุมัติประกาศผลผู้ชนะการจัดซื้อ จัดจ้างหรือผู้ได้รับคัดเลือก และสาระสำคัญของสัญญาหรือข้อตกลงเป็นหนังสือได้	154
135	4.3.6(25)	(25) สามารถจัดทำรายงานการจัดซื้อจัดจ้างที่ผูกพันข้ามปีและขออนุมัติกันเงินเหลื่อมปีได้	155
136	4.3.6(26)	(26) แสดงข้อมูลและจัดทำรายงานต่าง ๆ เช่น รายงานการจัดซื้อ/จ้าง ทะเบียนคุมหลักประกัน/เงินประกัน ทั้งนี้ยังสามารถกำหนดรูปแบบการนำข้อมูลออก (Export) ในรูปแบบของไฟล์ PDF, Excel, Word ได้เป็นอย่างน้อย	156
137	4.3.7	4.3.7 ระบบบริหารวัสดุ (Inventory Control System) เป็นระบบที่ทำหน้าที่ในการจัดการเกี่ยวกับการจัดการวัสดุในคลัง การรับวัสดุ การเบิกจ่ายวัสดุ การโอนย้ายวัสดุ โดยระบบจะมีขอบเขตหรือความสามารถต่าง ๆ ดังนี้	157
138	4.3.7(1)	(1) สามารถกำหนดรหัสสินค้าและบริการโดยจำแนกตามกลุ่ม	158
139	4.3.7(2)	(2) สามารถกำหนดคลังสินค้าได้ไม่จำกัด	159
140	4.3.7(3)	(3) เมื่อมีการตรวจรับพัสดุแบบเข้าคลัง สามารถทำการบันทึกรายการวัสดุเข้าคลังโดยอัตโนมัติ	160
141	4.3.7(4)	(4) สามารถบันทึกขอเบิกวัสดุจากคลัง	161
142	4.3.7(5)	(5) สามารถบันทึกรายการโอนย้ายวัสดุระหว่างคลัง	162
143	4.3.7(6)	(6) สามารถบันทึกรายการปรับปรุงวัสดุ	163
144	4.3.7(7)	(7) แสดงข้อมูลและจัดทำรายงานต่าง ๆ เช่น รายงานวัสดุคงเหลือ ทั้งนี้ยังสามารถกำหนดรูปแบบการนำข้อมูลออก (Export) ในรูปแบบของไฟล์ PDF, Excel, Word ได้เป็นอย่างน้อย	164
145	4.3.8	4.3.8 ระบบทรัพย์สิน (Fixed Asset System) เป็นระบบที่หน้าที่ในการจัดการเกี่ยวกับ การควบคุมครุภัณฑ์และครุภัณฑ์ต่ำกว่าเกณฑ์ ธุรกรรมที่เกี่ยวข้องการทรัพย์สินของหน่วยงาน การตัดจำหน่าย การคำนวณค่าเสื่อมราคา โดยระบบจะมีขอบเขตหรือความสามารถต่าง ๆ ดังนี้	166
146	4.3.8(1)	(1) สามารถกำหนดรหัสทรัพย์สินได้ตามรูปแบบที่สำนักงบประมาณกำหนด	167
147	4.3.8(2)	(2) สามารถกำหนดโครงสร้างของรหัสทรัพย์สิน และเก็บข้อมูลรหัสทรัพย์สินที่ออกจาก ระบบได้	168
148	4.3.8(3)	(3) สามารถบันทึกข้อมูลทรัพย์สินทั้งที่เป็นครุภัณฑ์ปกติ และครุภัณฑ์มูลค่าต่ำกว่าเกณฑ์	169
149	4.3.8(4)	(4) สามารถบันทึกการได้มาของทรัพย์สินได้หลายวิธี เช่น จัดซื้อจัดจ้าง รับบริจาค รับโอน	170
150	4.3.8(5)	(5) สามารถบันทึกทรัพย์สินเป็นชุด โดยแยกเป็นทรัพย์สินหลักและทรัพย์สินย่อย	171
151	4.3.8(6)	(6) สามารถบันทึกประวัติการครอบครองและประวัติการบำรุงรักษา รวมไปถึงบันทึกข้อมูลและแก้ไขข้อมูลการเปลี่ยนแปลงสถานที่ตั้งของทรัพย์สินทั้งที่เป็นครุภัณฑ์ปกติและครุภัณฑ์มูลค่าต่ำกว่าเกณฑ์	172
152	4.3.8(7)	(7) สามารถคำนวณค่าเสื่อมราคาได้ วิธีเส้นตรง โดยระบบจะคำนวณให้อัตโนมัติ	173
153	4.3.8(8)	(8) สามารถบันทึกการจำหน่ายพัสดุให้เป็นไปตามวิธีการตามระเบียบกระทรวงการคลัง ว่าด้วยการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 ได้	174
154	4.3.8(9)	(9) สามารถบันทึกปรับปรุงราคาทุนของทรัพย์สินและค่าเสื่อมราคาได้	175
155	4.3.8(10)	(10) แสดงข้อมูลและจัดทำรายงานต่าง ๆ เช่น รายงานทรัพย์สินและค่าเสื่อมราคา ทั้งนี้ ยังสามารถกำหนดรูปแบบการนำข้อมูลออก (Export) ในรูปแบบของไฟล์ PDF, Excel, Word ได้เป็นอย่างน้อย	176
156	4.3.8(11)	(11) สามารถจัดทำป้ายครุภัณฑ์และตรวจนับครุภัณฑ์ด้วย QR Code รวมทั้งมีระบบตรวจนับครุภัณฑ์ผ่าน Mobile Application ได้	177
157	4.3.9	4.3.9 ระบบบัญชีแยกประเภท (General Ledger System) เป็นระบบที่มีการเชื่อมต่อกับระบบงานอื่น โดยรายการทั้งหมดที่บันทึกจากระบบต่าง ๆ จะส่งมาที่ระบบบัญชีแยกประเภท เพื่อประมวลผลในการออกรายงานงบการเงิน โดยระบบจะมีขอบเขตหรือความสามารถต่าง ๆ ดังนี้	178
158	4.3.9(1)	(1) สามารถกำหนดโครงสร้างของระบบบัญชีได้ เช่น ผังบัญชี รหัสบัญชี	179
159	4.3.9(2)	(2) สามารถเชื่อมโยงข้อมูลกับระบบงานต่าง ๆ และลงบัญชีอัตโนมัติ	180
160	4.3.9(3)	(3) สามารถจัดทำบัญชี และปิดงบการเงินได้เป็นรายหน่วยปฏิบัติ	181
161	4.3.9(4)	(4) สามารถเชื่อมโยงผังบัญชี และจัดทำข้อมูลทางบัญชีเสนอหน่วยงานภายนอก เช่น กรมบัญชีกลาง (GFMIS)	182
162	4.3.9(5)	(5) สามารถกำหนดรอบระยะเวลาบัญชี ให้เป็นไปตามความต้องการได้ และสามารถเปิด-ปิดรอบระยะเวลาบัญชีได้	183
163	4.3.9(6)	(6) แสดงข้อมูลและจัดทำรายงานต่าง ๆ เช่น รายงานสมุดรายวัน รายงานงบทดลองรายงานบัญชีแยกประเภท งบแสดงฐานะการเงิน งบแสดงผลการดำเนินงานทางการเงิน ทั้งนี้ยังสามารถกำหนดรูปแบบการนำข้อมูลออก (Export) ในรูปแบบของไฟล์ PDF, Excel, Word ได้เป็นอย่างน้อย	184
164	4.3.10	4.3.10 ระบบการรายงานสำหรับผู้บริหาร (Dashboard) เป็นระบบที่แสดงข้อมูลทางด้านผลการปฏิบัติงาน งบประมาณ บัญชี การเงิน และพัสดุในรูปแบบ Dashboard ได้แบบ Real time และสามารถแสดงข้อมูลแบบออนไลน์ผ่าน Web Browser และ Mobile	186
165	4.4	4.4 การฝึกอบรม	188
166	4.4.1	4.4.1 ผู้ขายต้องจัดให้มีการฝึกอบรมการใช้งานระบบบริหารจัดการทรัพยากรองค์กร (Enterprise Resource Planning : ERP) ตามรายละเอียดคุณลักษณะเฉพาะ ข้อ 4.3 ให้กับเจ้าหน้าที่ ณ สถานที่ตาม ที่ สกมช. กำหนด	189
167	4.4.2	4.4.2 ผู้ขายต้องจัดให้มีสิ่งอำนวยความสะดวกในการฝึกอบรม ตามความเหมาะสมโดยผู้ขาย เป็นผู้รับผิดชอบค่าใช่จ่ายในการฝึกอบรม	190
168	4.4.3	4.4.3 ผู้ขายต้องจัดทำคู่มือการฝึกอบรมการใช้งานระบบบริหารจัดการทรัพยากรองค์กร (Enterprise Resource Planning : ERP) เป็นไฟล์ PDF ให้กับผู้เข้ารับการฝึกอบรม	191
169	5	5. การติดตั้งและทดสอบระบบ	193
170	5.1	5.1 เมื่อการทดสอบการทำงานของระบบร่วมกันระหว่างผู้ขายและผู้ซื้อระบบ เป็นที่เรียบร้อยแล้ว ผู้ขายจะต้องติดตั้งระบบที่ปรับปรุงแก้ไข พร้อมทดสอบการทำงานของระบบให้สามารถทำงานได้อย่างสมบูรณ์ตามวัตถุประสงค์ของโครงการ	194
171	5.2	5.2 ระหว่างที่ทำการทดสอบระบบในทุกกรณี หากอุปกรณ์ใดของสำนักงาน หรือหน่วยงานที่เกี่ยวข้องได้รับความเสียหายระหว่างการทดสอบ และส่งผลให้เกิดข้อบกพร่องของระบบคอมพิวเตอร์ โดยความเสียหายที่เกิดขึ้นระหว่างการทดสอบนั้นเกิดจากความบกพร่องของบุคลากรของผู้ซื้อ ผู้ขายจะต้องรับผิดชอบต่อความเสียหายที่เกิดขึ้น โดยไม่คิดค่าใช้จ่ายใด ๆ จากสำนักงาน	195
172	8	8. ระยะเวลาดำเนินการ	196
173	9	9. การส่งมอบงาน	198
174	10	10. เงื่อนไขการชำระเงิน	201
175	11	11. เอกสารการยื่นข้อเสนอ	203
176	11.1	11.1 ส่วนที่ 1 อย่างน้อยต้องมีเอกสารดังต่อไปนี้	205
177	11.1.1	11.1.1 ในกรณีผู้ยื่นข้อเสนอเป็นนิติบุคคล	206
178	11.1.1(1)	(1) ห้างหุ้นส่วนสามัญหรือห้างหุ้นส่วนจำกัด ให้ยื่นสำเนาหนังสือรับรองการจดทะเบียน นิติบุคคล บัญชีรายชื่อหุ้นส่วนผู้จัดการ ผู้มีอำนาจควบคุม (ถ้ามี)	207
179	11.1.1(2)	(2) บริษัทจำกัดหรือบริษัทมหาชนจำกัด ให้ยื่นสำเนาหนังสือรับรองการจดทะเบียนนิติบุคคล หนังสือบริคณห์สนธิ บัญชีรายชื่อกรรมการผู้จัดการ ผู้มีอำนาจควบคุม (ถ้ามี) และบัญชีผู้ถือหุ้นรายใหญ่ (ถ้ามี)	208
180	11.1.2	11.1.2 ในกรณีผู้ยื่นข้อเสนอเป็นบุคคลธรรมดาหรือคณะบุคคลที่มิใช่นิติบุคคลให้ยื่นสำเนาบัตรประจำตัวประชาชนของผู้นั้น สำเนาข้อตกลงที่แสดงถึงการเข้าเป็นหุ้นส่วน (ถ้ามี) สำเนาบัตรประจำตัวประชาชนของผู้เป็นหุ้นส่วน หรือสำเนาหนังสือเดินทางของผู้เป็นหุ้นส่วนที่มิได้ถือสัญชาติไทย	209
181	11.1.3	11.1.3 ในกรณีผู้ยื่นข้อเสนอเป็นผู้ยื่นข้อเสนอร่วมกันในฐานะเป็นผู้ร่วมค้า ให้ยื่นสำเนาสัญญา ของการเข้าร่วมค้าตามข้อ 3.11	210
182	11.1.4	11.1.4 เอกสารเพิ่มเติมอื่น ๆ	211
183	11.1.4(1)	(1) สำเนาใบทะเบียนพาณิชย์	212
184	11.1.4(2)	(2) สำเนาใบทะเบียนภาษีมูลค่าเพิ่ม ภ.พ. 20	213
185	11.2	11.2 ส่วนที่ 2 อย่างน้อยต้องมีเอกสารดังต่อไปนี้	214
186	11.2.1	11.2.1 ในกรณีที่ผู้ยื่นข้อเสนอมอบอำนาจให้บุคคลอื่นกระทำการแทน ให้แนบหนังสือมอบอำนาจ ซึ่งติดอากรแสตมป์ตามกฎหมาย โดยมีหลักฐานแสดงตัวตนของผู้มอบอำนาจและผู้รับมอบอำนาจ ทั้งนี้ หากผู้รับมอบอาจเป็นบุคคลธรรมดาต้องเป็นผู้บรรลุนิติภาวะตามกฎหมายแล้วเท่านั้น	215
187	11.2.2	11.2.2 เอกสารเพิ่มเติมอื่น ๆ	216
188	11.2.2(1)	(1) หนังสือรับรอง ตามข้อ 3.12 และ 3.13	217
189	11.2.2(2)	(๒) เอกสารแสดงมูลค่าสุทธิของกิจการ ตามรายละเอียดคุณลักษณะเฉพาะข้อ 3.14	218
190	11.2.2(3)	(๓) ตารางเปรียบเทียบรายละเอียดคุณลักษณะเฉพาะตามที่ สกมช. กำหนด ในข้อ 4 กับรายละเอียดคุณลักษณะเฉพาะที่ผู้ยื่นข้อเสนอได้จัดทำ	219
191	12	12. การรับประกันและการบำรุงรักษา	220
192	12.1	1๒.1 ระบบ ERP เกิดปัญหาหรือเหตุขัดข้องในกรณีเร่งด่วน ซึ่งส่งผลกระทบต่อการดำเนินงานขององค์กรอย่างร้ายแรง หรือส่งผลให้การดำเนินงานขององค์กรหยุดชะงัก ผู้ขายจะต้องจัดให้มีเจ้าหน้าที่สำหรับดำเนินการแก้ไขปัญหาให้แล้วเสร็จภายใน 24 ชั่วโมง	222
193	12.2	1๒.2 ระบบ ERP เกิดปัญหาทั่วไป หรือเหตุขัดข้องที่ไม่ส่งผลกระทบร้ายแรงต่อการดำเนินงานขององค์กร ผู้ขายจะต้องจัดให้มีเจ้าหน้าที่สำหรับดำเนินการแก้ไขปัญหาให้แล้วเสร็จภายใน ๔๘ ชั่วโมง	223
194	12.3	1๒.3 ผู้ขาย ต้องนำเสนอค่าบำรุงรักษา และดูแลหลังสิ้นสุดการปรับประกัน 1 ปี	224
195	12.4	1๒.4 หากมีการปรับปรุงกฎหมาย และระเบียบจากภาครัฐ ผู้ขายจะต้องดำเนินการปรับปรุงระบบ ERP ให้เป็นไปตามกฎหมายและระเบียบให้เป็นปัจจุบันทันที โดยไม่มีค่าใช้จ่ายใด ๆ เพิ่มเติม	225
196	12.5	12.5 กรณีที่ผู้ขายไม่สามารถดำเนินการได้ตามเงื่อนไข การรับประกันผลงานและการบำรุงรักษา ผู้ขายจะต้องชำระค่าปรับเป็นรายวันในอัตราร้อยละ 0.1 ของมูลค่าของระบบที่ยังไม่สามารถใช้งานได้ แต่ต้องไม่ต่ำกว่าวันละ 100 บาท จนกว่าระบบจะสามารถใช้งานได้ตามปกติโดยเศษของวันจะถือเป็นหนึ่งวันเต็ม	226
197	13	13. เงื่อนไขการปรับ	227
198	14	14. วงเงินในการจัดหา	229
199	15	15. การรักษาความลับ	231
200	15.1	๑5.๑ ผู้เสนอราคาจะต้องจัดเก็บรักษาข้อมูลต่าง ๆ ที่เกี่ยวกับการดำเนินงานที่ผู้เสนอราคาได้รับจาก สกมช. และข้อมูลต่าง ๆ ที่ผู้เสนอราคาได้จัดทำขึ้นเนื่องจากการดำเนินงานตามสัญญานี้อย่างเป็นความลับของ สกมช. ซึ่งต่อไปใน สัญญานี้เรียกว่า “ข้อมูลที่เป็นความลับ” โดยผู้เสนอราคาต้องหามาตรการในการจัดเก็บข้อมูลที่เป็นความลับให้มิดชิด รวมทั้งไม่เปิดเผย หรือเผยแพร่ หรือกระทำด้วยวิธีการใดให้บุคคลอื่นใดที่มิใช่คู่สัญญาภายใต้สัญญานี้ หรือมิใช่บุคคลที่ สกมช. ได้อนุญาตเป็นลายลักษณ์อักษรให้มีส่วนเกี่ยวข้อง ที่จะรับทราบข้อมูลที่เป็นความลับภายใต้สัญญานี้ ได้ทราบถึงข้อมูลที่เป็นความลับดังกล่าว เว้นแต่จะเป็นการเปิดเผยข้อมูลดังกล่าวให้แก่เจ้าหน้าที่ผู้ปฏิบัติงานของผู้เสนอราคาที่ต้องเกี่ยวข้องโดยตรงกับข้อมูลดังกล่าวเท่านั้น และผู้เสนอราคาจะต้องจัดให้เจ้าหน้าที่ผู้ปฏิบัติงานดังกล่าวได้ผูกพันและปฏิบัติตามเงื่อนไขในการรักษาข้อมูลที่เป็นความลับเช่นว่านั้นด้วย	232
201	15.2	๑5.๒ หากผู้เสนอราคามิได้ปฏิบัติตามข้อ ๑1.๑ ผู้เสนอราคาจะต้องรับผิดชอบต่อ สกมช. หรือบุคคลอื่นที่เป็นเจ้าของข้อมูลที่เป็นความลับนั้นในความเสียหายใด ๆ ที่เกิดขึ้นเนื่องจากการที่ข้อมูลที่เป็นความลับดังกล่าว ได้ถูกเปิดเผยไม่ว่าทั้งหมดหรือแต่บางส่วน และ สกมช. มีสิทธิบอกเลิกสัญญาได้ทันที	233
202	15.3	๑5.๓ ผู้เสนอราคาจะยังคงต้องผูกพันตามข้อกำหนดเกี่ยวกับการรักษาข้อมูลที่เป็นความลับตามข้อ ๑1.๑ ต่อไป ตราบที่ข้อมูลที่เป็นความลับดังกล่าวยังคงเป็นความลับอยู่ แม้ว่าการจ้างตามสัญญานี้ได้สิ้นสุดลงแล้ว ไม่ว่าด้วยเหตุใดก็ตาม	234
203	16	16. ลิขสิทธิ์การใช้งาน	239
204	16.1	16.1 ซอฟต์แวร์ต่าง ๆ ที่นำมาใช้งาน จะต้องมีลิขสิทธิ์การใช้งานถูกต้องตามกฎหมาย เมื่อดำเนินการตามขอบเขตงานข้างต้นแล้วเสร็จ	240
205	16.2	16.2 กรณีเสนอระบบบริหารจัดการทรัพยากรองค์กร (Enterprise Resource Planning : ERP) เป็นซอฟต์แวร์สำเร็จรูปต้องมีลิขสิทธิ์การใช้งานแบบซื้อขาด (Perpetual Licenses) จำนวนไม่เกิน 125 ผู้ใช้งาน	241
206	16.3	16.3 กรณีเสนอเป็นการพัฒนาระบบบริหารจัดการทรัพยากรองค์กร (Enterprise Resource Planning : ERP) ต้องมีลิขสิทธิ์ในซอฟต์แวร์แบบไม่จำกัดผู้ใช้งาน และหน่วยงานมีลิขสิทธิ์ในการใช้ Source Code ในการดำเนินการใด ๆ ในกิจการของหน่วยงานได้	242
207	17	17. หน่วยงานที่รับผิดชอบ	244
208	18	18. สถานที่ส่งมอบ	247
